Tempo,Velocidade
0.10000000149011612,0.03367518868210936
0.15000000223517418,0.12797387078961325
0.20000000298023224,0.1586460936591059
0.2500000037252903,0.15278603562111637
0.30000000447034836,0.20766542185584366
0.3500000052154064,0.2593897772661592
0.4000000059604645,0.2787702931459391
0.45000000670552254,0.32683916193763757
0.5000000074505806,0.3720765286596338
0.5500000081956387,0.40078478959619884
0.6000000089406967,0.44671920661925013
0.6500000096857548,0.4874996616202578
0.7000000104308128,0.5212787499364583
0.7500000111758709,0.5621848162909447
0.800000011920929,0.6036289582820351
0.850000012665987,0.6401932103511525
0.9000000134110451,0.6819877701207847
0.9500000141561031,0.7219600923935598
1.0000000149011612,0.7596830399571963
1.0500000156462193,0.8009143088955256
1.1000000163912773,0.8395840740659634
1.1500000171363354,0.8777175938098055
1.2000000178813934,0.9180981498002455
1.2500000186264515,0.9565650845989553
1.3000000193715096,0.9953149505634611
1.3500000201165676,1.0352380926513118
1.4000000208616257,1.0691212627212383
1.4500000216066837,1.108369472874665
1.5000000223517418,1.154383360134018
1.5500000230967999,1.1871734909850722
1.600000023841858,1.2207705899827228
1.650000024586916,1.2660192460885276
1.700000025331974,1.3029421132960233
1.750000026077032,1.3376819585402668
1.8000000268220901,1.3805735965474402
1.8500000275671482,1.4169106890451844
1.9000000283122063,1.454958950555549
1.9500000290572643,1.4930990049818456
2.0000000298023224,1.5314163030976402
2.0500000305473804,1.5800682818956369
2.1000000312924385,1.5498278701167825
2.1500000320374966,1.5311423467420977
2.2000000327825546,1.5616495624030184
2.2500000335276127,1.5390909240296462
2.3000000342726707,1.5342212756595413
2.350000035017729,1.5485378655961566
2.400000035762787,1.5313634480293081
2.450000036507845,1.5316399548080266
2.500000037252903,1.5363592736828635
2.550000037997961,1.5236884281560288
2.600000038743019,1.5250566399585423
2.650000039488077,1.5254392275554234
2.7000000402331352,1.5192238281032602
2.7500000409781933,1.5189775808964747
2.8000000417232513,1.5168451733334698
2.8500000424683094,1.5139413789911997
2.9000000432133675,1.5114289177931068
2.9500000439584255,1.5097854234673922
