Tempo,Delta
0.100000001490116,0
0.150000002235174,-0.185047971439622
0.200000002980232,-0.184672036217017
0.25000000372529,-0.183818191511196
0.300000004470348,-0.182875747018775
0.350000005215406,-0.181684590177869
0.400000005960464,-0.180131086574423
0.450000006705523,-0.178335472653748
0.500000007450581,-0.176467892412906
0.550000008195639,-0.174048579463277
0.600000008940697,-0.171689922796972
0.650000009685755,-0.169085994893513
0.700000010430813,-0.166095238536774
0.750000011175871,-0.162969945288456
0.800000011920929,-0.159507139335118
0.850000012665987,-0.155809531533898
0.900000013411045,-0.151969173776208
0.950000014156103,-0.147803359704248
1.00000001490116,-0.142983125001692
1.05000001564622,-0.138695294765464
1.10000001639128,-0.133912084662975
1.15000001713634,-0.128699868755276
1.20000001788139,-0.123295570910396
1.25000001862645,-0.117565031409403
1.30000001937151,-0.111374014452989
1.35000002011657,-0.105417471762595
1.40000002086163,-0.0992290107872412
1.45000002160668,-0.0924238761795132
1.50000002235174,-0.0858419694886944
1.5500000230968,-0.0786197585812678
1.60000002384186,-0.0712734930083225
1.65000002458692,-0.0635442041782209
1.70000002533197,-0.0556613476087261
1.75000002607703,-0.0476920449096101
1.80000002682209,-0.03917327645256
1.85000002756715,-0.031069834075397
1.90000002831221,-0.0221165315819418
1.95000002905726,-0.0134226326595942
2.00000002980232,-0.00429879849247858
2.05000003054738,0.00494973813676198
2.10000003129244,0.0147234756445391
2.1500000320375,0.0219104602011634
2.20000003278255,0.0329899808169669
2.25000003352761,0.0426689009558754
2.30000003427267,0.0496504239956711
2.35000003501773,0.0603171175619752
2.40000003576279,0.0668797160244078
2.45000003650784,0.0801868283080114
2.5000000372529,0.0841038663888425
2.55000003799796,0.0940157531902615
2.60000003874302,0.100952705507591
2.65000003948808,0.113983228524932
2.70000004023314,0.115903493773165
2.75000004097819,0.126884814284938
2.80000004172325,0.139525419797063
2.85000004246831,0.14493962975385
2.90000004321337,0.156741030571899
2.95000004395843,0.162053735076962
